,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
165,-1066551973,24.94429987281493,60.16414450332082,22,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
166,-1066551973,24.94429987281493,60.16414450332082,23,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,-1066551973,24.94429987281493,60.16414450332082,23,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,-1066551973,24.94429987281493,60.16414450332082,24,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,-1066551973,24.94429987281493,60.16414450332082,24,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-1066551973,24.94429987281493,60.16414450332082,25,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,-1066551973,24.94429987281493,60.16414450332082,25,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,-1066551973,24.94429987281493,60.16414450332082,26,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,-1066551973,24.94429987281493,60.16414450332082,26,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,-1066551973,24.94429987281493,60.16414450332082,27,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,-1066551973,24.94429987281493,60.16414450332082,27,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
176,-1066551973,24.94429987281493,60.16414450332082,28,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,-1066551973,24.94429987281493,60.16414450332082,28,fuel,53.72,0.0,0.0,0.0,0.0,0.0,1.0
178,-1066551973,24.94429987281493,60.16414450332082,29,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,-1066551973,24.94429987281493,60.16414450332082,29,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,-1066551973,24.94429987281493,60.16414450332082,30,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,-1066551973,24.94429987281493,60.16414450332082,30,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,-1066551973,24.94429987281493,60.16414450332082,31,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,-1066551973,24.94429987281493,60.16414450332082,31,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,-1066551973,24.94429987281493,60.16414450332082,32,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,-1066551973,24.94429987281493,60.16414450332082,32,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,-1066551973,24.94429987281493,60.16414450332082,33,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,-1066551973,24.94429987281493,60.16414450332082,33,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,-1066551973,24.94429987281493,60.16414450332082,34,electric,58.17,0.0,0.0,0.0,0.0,0.0,1.0
189,-1066551973,24.94429987281493,60.16414450332082,34,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,-1066551973,24.94429987281493,60.16414450332082,35,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,-1066551973,24.94429987281493,60.16414450332082,35,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,-1066551973,24.94429987281493,60.16414450332082,36,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,-1066551973,24.94429987281493,60.16414450332082,36,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,-1066551973,24.94429987281493,60.16414450332082,37,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,-1066551973,24.94429987281493,60.16414450332082,37,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,-1066551973,24.94429987281493,60.16414450332082,38,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,-1066551973,24.94429987281493,60.16414450332082,38,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,-1066551973,24.94429987281493,60.16414450332082,39,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,-1066551973,24.94429987281493,60.16414450332082,39,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-1066551973,24.94429987281493,60.16414450332082,40,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,-1066551973,24.94429987281493,60.16414450332082,40,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,-1066551973,24.94429987281493,60.16414450332082,41,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,-1066551973,24.94429987281493,60.16414450332082,41,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
204,-1066551973,24.94429987281493,60.16414450332082,42,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,-1066551973,24.94429987281493,60.16414450332082,42,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,-1066551973,24.94429987281493,60.16414450332082,43,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
